sync_index,person_id,Nose_px,Nose_py,L_Eye_px,L_Eye_py,R_Eye_px,R_Eye_py,L_Ear_px,L_Ear_py,R_Ear_px,R_Ear_py,L_Shoulder_px,L_Shoulder_py,R_Shoulder_px,R_Shoulder_py,L_Elbow_px,L_Elbow_py,R_Elbow_px,R_Elbow_py,L_Wrist_px,L_Wrist_py,R_Wrist_px,R_Wrist_py,L_Hip_px,L_Hip_py,R_Hip_px,R_Hip_py,L_Knee_px,L_Knee_py,R_Knee_px,R_Knee_py,L_Ankle_px,L_Ankle_py,R_Ankle_px,R_Ankle_py,sternum_px,sternum_py,rshoulder_px,rshoulder_py,lshoulder_px,lshoulder_py,r_lelbow_px,r_lelbow_py,l_lelbow_px,l_lelbow_py,r_melbow_px,r_melbow_py,l_melbow_px,l_melbow_py,r_lwrist_px,r_lwrist_py,l_lwrist_px,l_lwrist_py,r_mwrist_px,r_mwrist_py,l_mwrist_px,l_mwrist_py,r_ASIS_px,r_ASIS_py,l_ASIS_px,l_ASIS_py,r_PSIS_px,r_PSIS_py,l_PSIS_px,l_PSIS_py,r_knee_px,r_knee_py,l_knee_px,l_knee_py,r_mknee_px,r_mknee_py,l_mknee_px,l_mknee_py,r_ankle_px,r_ankle_py,l_ankle_px,l_ankle_py,r_mankle_px,r_mankle_py,l_mankle_px,l_mankle_py,r_5meta_px,r_5meta_py,l_5meta_px,l_5meta_py,r_toe_px,r_toe_py,l_toe_px,l_toe_py,r_big_toe_px,r_big_toe_py,l_big_toe_px,l_big_toe_py,l_calc_px,l_calc_py,r_calc_px,r_calc_py,C7_px,C7_py,L2_px,L2_py,T11_px,T11_py,T6_px,T6_py
73495,0,,,,,,,,,,,,,,,,,,,630.8648,233.3304,585.9789,234.0004,618.0966,234.3492,599.4299,235.6832,612.5214,277.1571,595.3448,279.3735,607.5365,319.6585,595.0242,311.1434,,,,,,,,,,,,,,,584.0034,232.4616,629.5228,232.4304,585.9184,233.3380,633.0666,232.7507,593.1431,227.0587,611.9196,226.9622,611.3034,226.9027,620.5077,227.7132,592.7231,274.5496,616.2832,273.1684,600.7839,274.8931,605.5736,275.5829,592.6990,310.4530,611.2877,321.6545,595.3427,312.4091,605.1749,317.2672,582.4147,314.9598,605.4495,330.3734,580.9430,314.7914,597.2397,326.5324,579.3054,315.9530,591.6605,325.4341,612.7685,323.5592,599.5808,314.8697,616.9210,226.7597,,,,,,
73496,0,,,,,,,,,,,,,,,,,,,629.9435,235.3929,586.9781,232.5127,618.2520,235.9574,602.1866,234.1631,611.1991,281.3865,595.7345,274.7086,607.1911,319.6238,595.9776,310.8192,,,,,,,,,,,,,,,584.7937,232.0937,628.3833,233.7308,587.2086,232.3694,632.4226,233.8280,594.9095,226.1738,611.6888,229.0227,612.5212,227.6282,621.2230,227.9940,593.3816,269.7611,615.0983,278.9043,600.3701,273.6109,604.8481,275.7303,593.6064,310.0616,610.9025,321.4850,596.2942,311.8918,604.6548,319.1148,582.9500,313.6719,605.2500,330.1185,580.8818,313.7864,597.0113,326.1383,578.9248,314.9700,591.5428,325.5079,612.2650,323.2767,601.8612,314.3958,617.6625,227.7629,,,,,,
73497,0,,,,,,,,,,,,,,,,,,,628.7566,236.9252,587.7928,231.2932,618.3825,235.5909,601.4536,233.3375,610.3416,280.9822,595.2444,275.4231,606.9185,319.4336,596.3841,310.7179,,,,,,,,,,,,,,,585.5429,230.6092,627.0857,236.3090,588.0781,230.8263,631.3996,236.4728,595.1419,225.9156,611.7113,229.1773,612.2633,225.6128,621.0987,226.5770,592.8955,270.4081,614.3337,278.5719,600.3649,274.4660,604.1266,276.8531,594.0549,309.7731,610.4490,321.1008,596.6504,311.8679,604.5416,318.9843,583.8896,314.1407,605.1881,329.7740,581.7095,313.8686,596.9719,326.0288,579.8168,315.1828,591.5743,325.4466,612.0131,323.1439,602.0718,314.4902,617.0015,226.0944,614.9861,226.0193,,,,
73498,0,,,,,,,,,,,,,,,,,,,628.2016,236.3704,588.0690,232.3946,618.5780,236.4448,602.4293,232.8329,610.0046,280.6164,595.5875,275.2116,607.1578,318.9501,596.7277,310.7280,,,,,,,,,,,,,,,585.7506,231.4315,626.2861,234.9776,588.4789,232.0248,630.8819,235.2278,595.4975,227.1499,612.2009,230.6906,612.9025,228.6159,621.2305,229.4289,593.1629,270.2763,613.9377,278.5539,600.5701,274.0707,604.4161,276.2108,594.5989,309.8033,610.4268,320.3906,597.0581,311.8728,604.9012,318.4245,584.3917,313.7052,605.1596,328.8315,581.7427,313.8451,597.0084,325.1166,579.6540,315.0940,591.5835,324.7087,612.3489,322.4862,602.3307,314.0988,617.6783,228.9158,,,,,,
73499,0,,,,,,,,,,,,,,,,,,,627.7929,234.5733,588.2975,231.4286,618.5464,234.5019,601.4396,232.2632,610.1823,280.2168,596.1099,274.8348,607.4542,318.8288,595.9668,310.7527,,,,,,,,,,,,,,,586.3458,230.9212,625.9899,233.8527,588.4585,231.0528,630.0484,234.4106,595.2639,224.4049,612.2257,227.9409,613.2329,225.6606,621.5329,226.6706,593.9109,270.1982,614.0278,278.1104,601.1281,273.9568,604.8720,276.2637,594.1081,309.7763,610.4632,320.4005,596.0745,311.8315,605.1414,318.2134,583.6118,314.3957,604.7460,328.8562,581.0583,313.7927,596.5118,325.1169,578.9040,315.0977,591.1053,324.2042,612.6945,322.5481,601.9846,314.6624,619.8830,226.1913,,,,,,
73500,0,,,,,,,,,,,,,,,,,,,627.4162,235.7495,589.2207,230.9892,618.5393,234.0586,603.0628,231.6528,609.4425,280.3592,596.0862,274.6058,607.5291,320.0968,596.0922,311.4404,,,,,,,,,,,,,,,587.3552,230.2521,625.4241,234.7530,589.5707,230.7903,629.6686,235.7666,595.8140,223.2954,611.1240,226.3140,614.1711,224.6284,622.0590,225.4952,594.3824,269.9569,613.4275,277.8929,601.1954,273.6096,604.3831,276.0310,594.5316,310.5887,610.4334,321.8480,596.0855,312.5797,605.1701,319.6153,583.8995,314.4101,604.1141,330.0722,581.0624,313.7916,596.0138,325.9042,578.9345,314.9922,590.6360,324.8697,613.3647,324.2905,602.3860,315.4123,620.4551,225.0597,617.7099,224.9612,,,,
73501,0,,,,,,,,,,,,,,,,,,,626.9850,235.4103,589.1792,231.4519,618.9378,233.6903,604.0583,231.4364,608.8476,280.9157,596.1009,274.6270,607.6794,320.3448,595.9958,311.7405,,,,,,,,,,,,,,,587.2587,230.9749,624.9281,235.0266,589.4052,231.3442,629.1009,235.5072,596.5979,222.6485,612.3728,225.2266,616.2067,224.0959,625.5919,224.8746,594.6170,269.8722,613.1389,278.9951,601.0114,273.8202,604.1677,276.0005,594.3971,311.0166,610.6110,322.5078,595.9283,312.7979,605.2218,319.9081,583.3861,314.6513,604.3519,330.9741,580.0773,314.1053,595.5658,326.7819,577.8122,315.3676,589.9397,325.5732,613.6755,324.7360,603.3196,315.7482,621.2743,224.3588,618.0624,224.1747,,,,
73502,0,,,,,,,,,,,,,,,,,,,625.5144,233.0562,589.6682,235.2212,619.8009,233.2534,604.9502,233.4311,609.1564,276.8892,596.0432,278.3929,608.2121,314.6416,595.7866,316.3569,,,,,,,,,,,,,,,587.6011,234.3312,623.4552,232.5008,590.0891,235.6549,627.8870,232.8782,596.9949,226.5532,612.0149,226.3147,616.6485,223.9115,626.0875,224.8881,594.3255,273.9588,613.3352,273.6372,600.9429,274.7783,604.2333,274.8599,594.3996,316.9346,611.3590,314.8285,595.8022,316.1941,605.7280,315.1346,583.5480,322.4466,604.9283,320.2612,580.6613,319.7316,596.5795,317.2090,578.5199,319.1626,591.0899,317.0432,614.2380,319.1928,602.6730,320.6163,621.5954,223.7682,618.4336,223.6454,,,,
73503,0,,,,,,,,,,,,,,,,,,,624.4413,232.0389,591.0985,233.4888,620.3427,232.4661,606.0802,233.0909,609.2505,276.0437,596.1318,277.8239,608.1284,313.1662,595.6597,315.0922,,,,,,,,,,,,,,,588.6464,232.7569,622.5888,231.2962,591.7171,233.3343,626.7619,231.8744,597.4159,225.8482,612.5076,225.8871,618.0961,224.1260,629.2211,223.6436,594.5465,273.8069,613.6829,272.6452,600.5650,274.3459,604.2722,274.5937,594.3520,315.6548,611.3411,313.3921,595.6272,314.8555,605.5744,314.0187,583.6284,321.2136,604.1786,319.0432,580.3734,318.7066,596.0410,315.9101,578.2704,313.9984,590.3866,315.6848,614.1192,318.4820,602.9784,319.1832,623.6107,224.0922,,,,,,
73504,0,,,,,,,,,,,,,,,,,,,624.4493,232.3882,590.0962,233.7017,619.9346,233.0503,605.8009,232.5076,609.5258,279.8317,596.2266,274.4333,607.8214,318.0484,595.8781,310.7204,,,,,,,,,,,,,,,587.6959,233.0392,622.2852,231.8743,590.6680,233.9186,626.7624,232.0370,597.1217,224.4530,612.9296,225.6964,617.8975,224.0359,629.0555,223.9774,594.4271,269.7486,613.7761,277.7131,600.7413,273.4440,604.4860,274.9775,594.4623,310.0279,610.8312,320.3491,595.8331,311.7057,605.3326,317.4015,583.7476,313.6667,603.4684,328.3230,580.6055,313.0426,595.3507,323.7670,578.1257,314.0205,589.7354,322.2246,613.8490,322.6320,603.3052,314.6201,622.4334,224.2065,,,,,,
73506,0,,,,,,,,,,,,,,,,,,,624.5250,234.0070,594.7178,229.8669,618.3062,233.8648,603.4607,231.4011,608.8018,279.7837,596.1182,273.7257,607.9413,317.7464,596.2199,310.1843,,,,,,,,,,,,,,,592.4853,229.4834,622.2168,233.0488,595.6474,229.1467,626.6839,233.4667,595.2839,224.6388,611.1767,225.4790,616.4252,224.8772,627.8629,225.8393,594.9160,269.0512,612.2636,277.2240,600.0588,272.7910,604.3266,275.3064,595.0480,309.2800,610.5348,319.5984,595.9274,311.1453,605.5659,317.1074,584.2742,313.4439,603.8594,327.4420,580.6623,312.9966,595.5683,322.9210,577.9173,314.1493,590.1357,321.8682,613.7710,322.0072,603.7460,314.2075,,,,,,,,
73509,0,,,,,,,,,,,,,,,,,,,624.8720,232.3530,597.6004,231.2064,618.5513,233.1137,604.1018,232.8507,609.3699,279.4972,596.7963,273.9841,607.9262,316.8977,596.2470,310.3336,,,,,,,,,,,,,,,595.1085,230.0039,622.7770,231.8045,598.6588,230.0190,626.9106,232.2177,596.3920,224.3437,611.5073,224.9759,617.2534,224.5046,628.4538,224.3123,596.0353,271.1531,612.9431,277.4435,600.3612,272.8844,604.5424,274.4322,595.0502,309.7617,610.5366,319.0256,595.9818,311.1230,605.5335,316.2101,584.0715,313.2549,603.7127,326.5048,580.1853,312.7802,595.3523,322.0071,577.3580,313.6782,589.9078,320.8745,613.9588,321.3201,603.6063,314.5519,622.3155,224.4692,621.5600,224.5080,,,,
73512,0,,,,,,,,,,,,,,,,,,,624.6780,236.4673,595.5993,231.5799,618.4684,234.9185,603.9975,232.7425,610.0846,278.9876,597.4063,273.4230,607.8868,317.7941,596.9114,310.5172,,,,,,,,,,,,,,,593.2545,230.9872,622.6174,236.0821,596.7659,230.8703,626.6983,236.7172,596.1266,223.6433,610.7655,224.2006,615.9445,224.8798,626.6582,225.6277,596.3456,268.6031,613.3567,277.2348,600.5203,272.5299,604.9245,274.6479,595.9577,309.9027,610.4507,319.7239,596.5610,311.3781,605.5280,317.1268,583.9897,313.3907,603.8663,327.3391,579.8106,312.8118,595.2576,322.7842,576.9053,313.9190,589.6711,321.8819,613.8744,322.3404,604.1373,314.8981,621.0315,223.5196,,,,,,
73514,0,,,,,,,,,,,,,,,,,,,624.8266,236.2322,597.5314,230.5076,618.5821,234.4326,603.8443,232.3871,610.3310,279.9093,597.3455,274.5284,608.1055,317.7691,596.8046,310.3049,,,,,,,,,,,,,,,595.3538,229.8383,622.7913,236.0617,597.9377,230.3819,627.0745,236.2328,595.8021,224.0071,610.8693,226.5447,616.0755,224.6039,625.6562,224.6545,595.8970,270.1827,613.8701,277.8317,601.1185,273.5840,605.2339,275.4495,595.5795,309.6832,610.6913,319.7496,596.6176,311.1425,605.8652,317.2236,583.6455,313.3183,604.3803,327.4920,580.0257,312.6202,595.9675,322.8489,577.3185,313.6505,590.6299,322.0796,613.9938,322.3565,603.8337,314.4652,621.3720,223.3826,617.8772,223.2821,,,,
73516,0,,,,,,,,,,,,,,,,,,,624.6957,237.2042,600.8498,230.2249,619.0471,234.5509,606.6818,232.3566,609.6415,279.7006,597.5954,273.5899,608.2251,317.1990,597.8750,310.2158,,,,,,,,,,,,,,,598.7526,229.3702,622.2382,236.5458,601.6290,229.8149,627.1040,237.7152,596.6820,224.0124,610.6953,227.2684,619.3135,224.1662,629.7280,226.1170,596.6475,269.1323,612.7754,277.7336,600.5512,272.7103,605.1476,275.1077,596.9340,309.4330,610.7101,319.0661,597.6096,311.1815,606.0033,316.5659,584.5736,313.0163,603.9313,326.4610,580.5436,312.7085,595.4859,322.6224,577.6646,313.9310,590.0290,322.0573,614.3521,321.4110,604.6984,314.1267,623.2477,224.4501,626.2780,224.5718,,,,
73517,0,,,,,,,,,,,,,,,,,,,624.2598,236.8828,598.2271,231.3591,618.0895,235.5072,604.2676,232.7516,609.7887,281.0346,597.1633,274.7062,607.7806,317.6470,596.2000,310.0963,,,,,,,,,,,,,,,594.8586,230.7325,622.2186,236.0507,598.9816,231.1181,626.6608,236.7466,595.9166,224.9439,610.2956,227.3012,617.2238,222.8915,627.5865,225.5590,595.8118,270.0499,613.3823,278.7588,600.9039,274.0160,604.6035,276.2800,595.2183,309.2486,610.8174,319.4633,595.9264,311.0604,605.4182,316.9789,583.7433,313.5163,604.3564,327.4618,580.5932,312.8158,596.0372,323.4155,578.0118,314.0959,590.2111,322.7070,613.8342,321.6908,603.0717,314.2918,621.6801,223.2990,619.7820,223.4142,,,,
73518,0,,,,,,,,,,,,,,,,,,,623.3463,237.2416,600.7831,230.9779,618.3367,235.4474,606.5578,232.4385,609.4608,280.9841,596.9298,274.4109,607.8897,318.0938,596.8836,310.5675,,,,,,,,,,,,,,,598.7599,229.9410,621.2850,236.2688,601.4353,230.4413,625.6316,237.0958,596.7732,224.7074,609.7762,227.2098,619.6942,223.9930,628.1533,225.7168,596.0541,269.6705,612.8030,279.0742,599.9939,273.7751,604.5302,276.1766,596.0752,309.7101,610.7244,320.0618,596.5795,311.5825,605.6656,317.3559,584.4968,313.6874,603.6932,327.8743,580.7030,312.9334,595.5558,323.7666,577.8191,314.2039,589.9501,323.0483,614.0612,322.3907,603.7735,314.8174,,,623.5421,223.2577,,,,
73519,0,,,,,,,,,,,,,,,,,,,622.6488,239.2614,600.8981,235.2540,617.9716,237.2662,606.5071,234.0169,609.6183,279.9951,596.5964,273.6763,607.8255,318.2007,596.8807,311.1254,,,,,,,,,,,,,,,598.7948,234.4632,620.3999,238.8323,601.8806,235.1637,625.0303,239.6358,596.7902,224.3170,608.6822,224.9852,619.8642,225.3791,627.8345,226.4483,595.9418,268.9380,612.7246,277.7433,599.1364,272.6718,604.8854,274.4643,596.1838,310.4853,610.5745,320.1182,596.5772,311.9064,605.6282,317.6994,584.5243,313.8323,603.3105,328.1710,580.4620,313.2519,595.2930,323.5373,577.5097,314.3563,589.5192,322.6057,613.8785,322.4481,603.7520,315.1762,,,621.6214,222.9682,,,,
73520,0,,,,,,,,,,,,,,,,,,,621.6549,239.7016,600.4153,231.9507,618.1084,236.2616,605.8994,233.5751,610.1302,281.5187,596.7907,274.4901,607.7897,318.5824,596.7933,310.4644,,,,,,,,,,,,,,,596.6220,231.4887,619.4917,239.1528,601.4722,231.6114,624.1168,240.0820,596.1432,225.4972,608.7171,227.5856,619.1129,224.9548,627.4106,225.5768,595.6949,269.9570,613.0977,279.5500,599.7668,273.7652,604.8079,276.1645,595.9317,309.6034,610.6632,320.5185,596.5440,311.4758,605.6262,317.9110,584.3979,313.7036,603.4613,328.5745,580.6586,313.0590,595.6237,324.1176,577.7680,314.2676,589.9066,323.2998,613.6692,323.0584,603.3437,314.5412,,,620.9623,222.5699,,,,
73521,0,,,,,,,,,,,,,,,,,,,620.9694,239.6353,598.7419,230.6757,617.8770,235.9029,605.2150,232.8271,610.2710,280.5421,596.4437,273.7683,608.0776,317.8428,596.8386,309.8560,,,,,,,,,,,,,,,593.1646,229.9826,618.8085,239.0800,599.0274,230.2848,623.4490,240.1673,596.1590,224.3829,608.0452,227.0532,618.3587,224.5332,626.6422,225.3134,595.4843,269.0317,613.1941,278.6668,599.2788,272.8788,605.0631,275.2068,596.0339,309.0501,610.9801,319.6720,596.6007,310.8464,605.9587,317.1517,584.8164,312.8554,603.8988,327.3328,580.9331,312.3050,596.0652,322.9378,577.9949,313.4999,590.1845,322.1882,614.1162,322.1408,603.4426,314.1836,,,619.8066,222.2528,,,,
73522,0,,,,,,,,,,,,,,,,,597.8775,223.5891,620.0050,240.9249,593.8805,236.8895,616.6837,235.5177,604.1620,235.8241,610.7819,281.4982,596.7257,273.9999,608.0467,318.0076,596.5315,310.6288,,,,,,,,,,,,,,,590.8816,236.3449,617.8308,240.0410,593.8381,236.8906,622.6266,241.5396,595.5476,227.4492,607.8886,226.0811,617.4625,225.1234,624.5864,226.2935,595.4843,269.5281,613.7055,279.9881,599.5994,274.1115,605.2097,275.3490,595.6767,309.9675,610.8342,320.2977,596.2739,311.5674,605.9587,317.1795,584.5770,312.8925,603.7499,327.7119,580.8765,312.6812,596.0528,323.3000,578.0227,313.7731,590.2353,322.2031,613.8577,322.3328,603.2107,314.5574,,,618.6438,222.0190,,,,
73524,0,,,,,,,,,,,,,,,,,,,618.5932,240.7061,595.4269,230.5833,615.5585,238.3703,602.4849,234.3312,611.8359,281.1815,595.9322,274.8797,608.2040,317.7694,595.6974,310.3605,,,,,,,,,,,,,,,591.2342,229.5428,616.2536,240.1112,597.3997,230.6378,621.1322,241.3979,594.4971,224.8497,607.3179,227.5776,616.5262,225.5700,623.1885,226.3703,594.4024,269.8353,614.9445,279.4251,598.6970,274.1020,605.7577,275.8805,594.9374,309.6936,611.1088,319.8740,595.4105,311.3869,606.1040,317.0796,584.0266,313.2355,604.0678,327.2636,580.5424,312.7576,596.6187,322.8494,577.8569,313.9700,590.7015,322.0102,613.9666,322.1030,602.5209,314.3258,,,617.9500,220.8304,,,,
