sync_index,person_id,Nose_px,Nose_py,L_Eye_px,L_Eye_py,R_Eye_px,R_Eye_py,L_Ear_px,L_Ear_py,R_Ear_px,R_Ear_py,L_Shoulder_px,L_Shoulder_py,R_Shoulder_px,R_Shoulder_py,L_Elbow_px,L_Elbow_py,R_Elbow_px,R_Elbow_py,L_Wrist_px,L_Wrist_py,R_Wrist_px,R_Wrist_py,L_Hip_px,L_Hip_py,R_Hip_px,R_Hip_py,L_Knee_px,L_Knee_py,R_Knee_px,R_Knee_py,L_Ankle_px,L_Ankle_py,R_Ankle_px,R_Ankle_py,sternum_px,sternum_py,rshoulder_px,rshoulder_py,lshoulder_px,lshoulder_py,r_lelbow_px,r_lelbow_py,l_lelbow_px,l_lelbow_py,r_melbow_px,r_melbow_py,l_melbow_px,l_melbow_py,r_lwrist_px,r_lwrist_py,l_lwrist_px,l_lwrist_py,r_mwrist_px,r_mwrist_py,l_mwrist_px,l_mwrist_py,r_ASIS_px,r_ASIS_py,l_ASIS_px,l_ASIS_py,r_PSIS_px,r_PSIS_py,l_PSIS_px,l_PSIS_py,r_knee_px,r_knee_py,l_knee_px,l_knee_py,r_mknee_px,r_mknee_py,l_mknee_px,l_mknee_py,r_ankle_px,r_ankle_py,l_ankle_px,l_ankle_py,r_mankle_px,r_mankle_py,l_mankle_px,l_mankle_py,r_5meta_px,r_5meta_py,l_5meta_px,l_5meta_py,r_toe_px,r_toe_py,l_toe_px,l_toe_py,r_big_toe_px,r_big_toe_py,l_big_toe_px,l_big_toe_py,l_calc_px,l_calc_py,r_calc_px,r_calc_py,C7_px,C7_py,L2_px,L2_py,T11_px,T11_py,T6_px,T6_py
73361,0,473.2642,149.6711,475.1217,147.5487,470.8826,147.8845,477.5529,148.3770,467.6691,149.1218,482.7625,161.3600,463.7068,161.4984,487.7759,176.2422,459.0994,176.2087,489.3050,190.2940,457.5092,188.9756,478.5426,191.4223,466.8156,191.4449,477.6987,216.3782,465.4550,216.1032,476.5885,237.7938,465.8264,236.7084,472.6298,160.8795,463.9127,157.4304,481.8884,157.2033,456.1862,175.4829,489.4835,175.2549,460.4799,175.9696,487.3734,175.9988,457.0548,189.2566,489.1171,190.1938,456.3755,189.4278,490.5554,190.5882,464.8256,186.1888,478.4673,185.9988,471.0555,184.4380,477.3968,184.5624,462.9958,213.3199,480.4803,214.4018,470.2754,213.9128,473.3683,214.1092,463.2746,236.5337,479.1373,237.9941,466.9121,237.1578,475.1011,238.0315,460.6232,240.9471,480.3029,242.8938,462.5769,241.1290,477.1981,242.5990,463.7766,242.3115,475.0795,243.3072,476.9449,239.2229,467.0444,238.1519,473.7637,157.1826,473.9655,179.5576,474.5011,172.7710,474.6208,165.4643
73362,0,473.5989,149.4225,475.6527,147.2927,471.2004,147.6930,478.3113,148.0968,467.7736,149.0185,483.2613,161.6711,463.2741,161.5805,488.3012,176.4711,457.6135,176.3995,489.3555,190.5208,455.0563,189.6171,478.3610,191.7143,465.9870,191.6966,477.9588,216.4420,465.3300,216.2316,476.4778,237.8182,466.0445,236.5499,472.8431,161.0591,464.0456,157.5302,482.6233,157.6001,454.7886,175.4298,490.0875,175.2823,458.4805,176.5130,488.1473,176.4506,454.5684,189.4341,489.1428,190.3226,453.6822,189.8707,490.7781,190.8346,464.3232,186.7480,478.4780,186.6010,470.3481,184.7611,476.8938,184.8565,462.8042,213.8536,480.6701,214.5493,470.1227,214.3251,473.3011,214.3997,463.2958,236.3337,479.0748,238.1078,467.1706,236.9656,475.0320,238.0532,460.6646,240.9558,480.2627,242.9528,462.8181,241.1224,477.1682,242.6187,464.3634,242.2967,475.1280,243.2990,476.7416,239.3752,467.0253,237.7277,473.9706,157.2901,473.4111,179.9875,473.9293,173.0536,474.3854,165.5962
73363,0,473.3390,149.4221,475.3001,147.3586,470.9653,147.6965,478.1093,148.1728,467.7941,148.9911,483.1185,161.6831,463.3865,161.6151,488.3232,176.5767,457.8683,176.3518,489.9525,190.5042,455.6792,189.4505,478.4876,191.8112,466.1143,191.6805,478.0869,216.5821,465.4220,216.2514,476.1672,237.6670,465.9990,236.7876,472.9347,161.1416,463.9796,157.5423,482.4295,157.5888,455.1316,175.4720,490.2892,175.3927,458.8542,176.4023,488.1097,176.6000,455.3367,189.2955,489.9162,190.2632,454.2646,189.5862,491.3480,190.8635,464.2332,186.8232,478.3402,186.8058,470.6949,184.7162,477.2112,184.8532,462.9319,213.7855,480.7435,214.9056,470.0928,214.4419,473.4672,214.6730,463.5077,236.5785,478.7901,237.7980,467.0206,237.2604,474.6443,237.9152,460.4854,241.1266,479.9962,242.7094,462.3376,241.2744,476.8763,242.5602,463.5775,242.4699,474.7367,243.3711,476.5316,238.9442,467.2524,238.0369,473.9905,157.1938,473.7258,179.9885,474.2489,173.0013,474.5936,165.5327
73364,0,473.7164,149.4545,475.7710,147.3528,471.4634,147.6179,478.3748,148.2190,468.1164,148.8744,483.3244,161.7468,463.5752,161.3628,488.2872,176.8566,457.8047,176.1343,489.9758,190.8853,455.5553,188.9319,478.3587,191.8756,466.0753,191.6471,477.9408,216.7241,465.2821,216.3682,475.9780,237.5997,466.0259,236.6859,473.1490,161.0477,464.1517,157.3321,482.6801,157.6389,455.1396,175.1466,490.3490,175.6945,458.7073,176.2281,488.0083,176.7834,455.2611,188.7064,489.9160,190.6613,454.0385,189.1604,491.3152,191.1436,464.3171,186.7165,478.3560,186.9465,470.4068,184.8738,476.9070,185.0608,462.9804,213.8159,480.6352,214.8291,469.9557,214.5772,473.5281,214.7485,463.5613,236.4434,478.7531,237.7944,467.0816,237.1488,474.4000,237.9993,460.6370,240.9611,479.9349,242.7498,462.4792,241.1688,476.8432,242.6008,463.6271,242.4280,474.7242,243.4314,476.1335,239.0898,467.1214,237.8471,473.9333,156.9321,473.6013,180.1547,474.0074,172.9750,474.4279,165.3574
73365,0,473.6021,149.3342,475.4635,147.2449,471.2287,147.5982,478.2537,147.9574,468.1400,148.8887,483.5652,161.7310,463.4514,161.3560,488.5040,176.9287,457.0558,176.0084,490.1059,190.9370,455.0169,188.5406,478.6039,191.7655,466.1327,191.6652,477.8525,216.6537,465.4088,216.3939,475.8067,237.6049,465.9425,236.4907,473.1869,160.8900,464.2177,157.3271,482.7677,157.5956,454.3108,174.9765,490.5937,175.7599,457.9160,176.3061,488.2013,176.8543,454.7549,188.1656,489.9212,190.6746,453.5680,189.0244,491.5077,191.1927,464.4631,186.6335,478.5821,186.7159,470.4677,184.7902,476.9796,184.9664,463.0680,213.7380,480.5127,214.7130,470.1134,214.4557,473.4770,214.5614,463.3742,236.3035,478.5686,237.7848,467.0322,236.9280,474.2431,238.0584,460.7333,240.7659,480.0131,242.7267,462.6994,240.9968,477.0286,242.5371,464.0266,242.3035,475.0901,243.3570,475.7519,239.1890,466.8974,237.6899,474.0286,156.9520,473.5717,180.1095,474.1075,172.9825,474.5152,165.3291
73366,0,474.1943,149.4766,476.1888,147.4551,471.8839,147.8195,478.6528,148.0391,468.3654,148.9492,484.0088,161.7922,463.5837,161.5210,488.9864,177.0558,456.9604,175.8364,490.4541,190.9348,454.6294,188.3831,478.6122,192.0207,466.0700,191.9414,477.8471,216.7534,465.5969,216.6331,475.3929,237.4882,466.0037,236.4349,473.4346,161.1557,464.5284,157.5136,483.4115,157.7413,454.3417,174.6855,491.0403,175.8448,457.5318,176.1525,488.4927,177.0236,454.5635,187.9985,490.5008,190.6363,453.0285,188.7320,491.8253,191.3277,464.9360,186.9687,479.2269,187.2846,469.9128,184.9006,476.4329,185.1440,463.2241,214.1157,480.6067,214.7299,470.3121,214.7500,473.4762,214.7015,463.2844,236.2900,478.0253,237.7700,467.1129,236.8224,473.9811,238.0022,460.9768,240.9644,479.7677,242.7804,463.2708,241.0529,476.9061,242.5592,464.8414,242.2758,475.0820,243.3999,474.9517,239.2151,466.5873,237.4089,474.1368,156.8071,473.1275,180.2403,473.7731,172.9500,474.2015,165.2409
73367,0,475.0548,149.4661,477.0910,147.5395,472.7226,147.8125,479.4475,148.1703,468.7648,148.8670,484.1850,161.8722,463.9045,161.4001,488.8283,177.0947,457.1199,175.9815,490.4942,190.9648,454.5535,187.6672,478.6974,192.0781,466.1191,192.1194,477.7321,217.1993,465.5651,216.8561,475.1040,237.3240,466.0048,236.5113,473.8209,161.2466,464.9232,157.3531,483.5787,157.8174,454.3391,174.8855,491.1269,175.9349,457.7499,176.6388,488.3590,177.1943,454.3173,187.1801,490.6505,190.7433,453.0679,188.1966,491.7320,191.3562,465.0019,187.2148,479.5050,187.3767,469.9891,185.0021,476.4744,185.1667,463.2029,214.4881,480.5135,215.2247,470.3786,215.0559,473.3286,215.2406,463.3318,236.3664,477.6998,237.3542,467.1617,236.9211,473.7402,237.9146,461.1658,240.9130,479.6804,242.5859,463.5187,241.0807,476.9972,242.5408,465.1867,242.3419,475.2810,243.4904,474.3191,238.8510,466.3817,237.4969,474.3618,156.8250,473.1841,180.2721,473.8715,172.9501,474.3507,165.2217
73368,0,475.2149,149.3784,477.3892,147.3343,473.1376,147.6693,479.6598,148.0903,469.1208,148.8344,484.5077,161.9947,464.0595,161.4606,489.1145,177.2876,457.4519,175.5724,490.4890,191.3712,454.2931,186.7637,478.7890,192.1456,466.2671,192.0771,477.7104,217.0215,465.6722,216.7557,474.4678,237.4814,466.1135,236.6241,474.0183,161.2691,465.0816,157.4085,483.8918,158.0205,454.7222,174.3660,491.1709,176.1547,458.1420,176.3239,488.7633,177.3907,453.7759,186.3204,490.5138,191.0705,452.9480,187.4307,491.8422,191.6728,465.3172,187.1962,479.8317,187.4460,469.9539,185.0513,476.3710,185.2015,463.2488,214.4269,480.4900,215.0163,470.5358,215.0499,473.3805,215.0714,463.4005,236.4736,477.1153,237.4413,467.2929,237.0369,473.1898,238.0260,461.2009,240.9361,479.3851,242.4916,463.6804,241.0455,476.9782,242.4083,465.2933,242.2728,475.4127,243.3488,473.5296,239.1269,466.4256,237.7064,474.4936,156.9114,473.1695,180.2745,473.8714,173.0946,474.4580,165.4414
73369,0,475.0084,149.5537,477.2284,147.5634,472.9050,147.8330,479.5201,148.2138,469.2175,149.0169,484.6517,162.1551,464.1490,161.3968,488.8736,177.4873,457.5822,175.4255,490.3524,191.2902,454.5521,186.0830,478.9277,192.0523,466.4625,191.8349,477.9217,216.8084,465.8481,216.5034,474.4182,237.3859,466.1164,236.4276,474.1244,161.3093,465.3096,157.4180,483.9853,158.2339,454.9280,174.0389,491.1658,176.2669,458.1959,176.1503,488.4149,177.6466,454.1987,185.6071,490.4903,191.0610,453.0707,186.7228,491.6602,191.5773,465.4380,186.8565,479.7982,187.2616,470.0138,185.0512,476.4342,185.2014,463.3321,214.2911,480.6639,214.9535,470.6024,214.7936,473.4879,214.9018,463.4220,236.2930,477.0092,237.3320,467.2308,236.8402,473.1250,237.9317,461.0488,240.7501,479.3413,242.3006,463.3274,240.8350,477.0623,242.1753,464.7941,242.0619,475.4793,243.0845,473.4667,239.0232,466.5473,237.4993,474.5392,157.1034,473.3235,180.2640,473.9512,173.0918,474.4531,165.6027
73370,0,475.4764,149.5536,477.7622,147.5148,473.2881,147.7514,480.3516,148.2026,469.8567,149.0852,485.3585,162.4653,464.3978,161.4646,489.0302,177.7395,457.4052,175.1547,490.6648,191.7147,454.3126,184.6681,478.9656,192.1739,466.5073,191.8491,477.8379,216.9831,465.8454,216.2272,474.4358,237.5543,465.9739,236.2125,474.6538,161.3054,465.6343,157.4642,484.7009,158.3800,454.7002,173.7229,491.6087,176.6643,457.9161,176.1772,488.4210,177.9237,454.0302,183.8733,491.0336,191.5203,452.7377,185.4468,491.7694,192.0062,465.6277,186.8819,480.1074,187.2831,470.0737,185.1481,476.4816,185.3023,463.2992,214.0305,480.5978,215.1252,470.7321,214.6774,473.4798,214.8788,463.2848,236.0511,476.9905,237.5978,467.1456,236.5371,473.1035,238.0327,461.0276,240.4783,479.3263,242.5605,463.5494,240.5729,477.0684,242.2464,465.1916,241.8021,475.5367,243.0511,473.4728,239.1990,466.3124,237.2747,475.0681,157.2734,473.4942,180.3565,474.1263,173.1798,474.8210,165.7877
