sync_index,person_id,Nose_px,Nose_py,L_Eye_px,L_Eye_py,R_Eye_px,R_Eye_py,L_Ear_px,L_Ear_py,R_Ear_px,R_Ear_py,L_Shoulder_px,L_Shoulder_py,R_Shoulder_px,R_Shoulder_py,L_Elbow_px,L_Elbow_py,R_Elbow_px,R_Elbow_py,L_Wrist_px,L_Wrist_py,R_Wrist_px,R_Wrist_py,L_Hip_px,L_Hip_py,R_Hip_px,R_Hip_py,L_Knee_px,L_Knee_py,R_Knee_px,R_Knee_py,L_Ankle_px,L_Ankle_py,R_Ankle_px,R_Ankle_py,sternum_px,sternum_py,rshoulder_px,rshoulder_py,lshoulder_px,lshoulder_py,r_lelbow_px,r_lelbow_py,l_lelbow_px,l_lelbow_py,r_melbow_px,r_melbow_py,l_melbow_px,l_melbow_py,r_lwrist_px,r_lwrist_py,l_lwrist_px,l_lwrist_py,r_mwrist_px,r_mwrist_py,l_mwrist_px,l_mwrist_py,r_ASIS_px,r_ASIS_py,l_ASIS_px,l_ASIS_py,r_PSIS_px,r_PSIS_py,l_PSIS_px,l_PSIS_py,r_knee_px,r_knee_py,l_knee_px,l_knee_py,r_mknee_px,r_mknee_py,l_mknee_px,l_mknee_py,r_ankle_px,r_ankle_py,l_ankle_px,l_ankle_py,r_mankle_px,r_mankle_py,l_mankle_px,l_mankle_py,r_5meta_px,r_5meta_py,l_5meta_px,l_5meta_py,r_toe_px,r_toe_py,l_toe_px,l_toe_py,r_big_toe_px,r_big_toe_py,l_big_toe_px,l_big_toe_py,l_calc_px,l_calc_py,r_calc_px,r_calc_py,C7_px,C7_py,L2_px,L2_py,T11_px,T11_py,T6_px,T6_py
73361,0,600.6748,149.4167,601.0799,142.0076,595.6391,144.5453,613.3610,143.6742,601.7263,149.2871,607.0046,186.2174,606.4636,188.5868,595.9787,237.3199,600.9804,233.4507,573.0911,284.2408,576.3138,268.7634,592.0679,286.3963,580.1118,279.9709,575.8910,366.7434,584.7438,358.1094,577.8355,438.9557,592.0576,427.3274,596.6785,185.4120,610.1256,176.0195,608.4879,172.1987,597.9937,230.6400,584.5641,233.0606,607.4666,233.4730,602.1174,236.9752,570.0906,268.6018,569.8502,283.3005,578.8346,270.1065,575.5445,286.2287,565.8779,261.1396,571.6330,265.3650,608.7738,262.7924,612.3691,265.5273,584.6655,347.4616,575.5442,362.3356,583.0953,354.3256,574.3840,355.2459,596.5878,425.3957,578.9723,443.2999,588.9717,429.0187,576.4649,437.4343,578.6847,430.7072,559.7977,454.8186,567.8617,429.8031,550.0083,445.9984,560.4798,432.3481,540.9826,442.2580,592.5757,449.5410,603.9794,437.4800,629.3821,173.9655,611.3404,247.6145,625.3583,226.1716,630.9781,201.7948
73362,0,601.1361,148.5159,597.9477,141.0689,594.5923,143.8629,610.7028,142.5391,602.1105,148.9306,605.7061,187.1848,608.7247,188.9624,594.5020,238.0758,607.4451,234.4276,573.4384,285.1123,582.8109,270.8119,596.8637,288.0572,587.1512,281.5096,573.4919,366.5614,583.4638,358.1090,578.3305,439.0724,592.9456,427.3418,596.1763,185.9487,610.1701,176.3108,605.9373,173.3708,604.4097,230.8816,582.2077,233.0327,616.3591,235.7011,600.7147,238.5753,576.5099,269.2557,570.2320,283.8200,586.3472,271.6293,574.9374,287.1067,569.3486,263.1466,574.5122,267.7338,615.4418,264.4900,619.0559,267.2341,584.3742,348.9371,573.1429,362.3912,581.4217,355.1468,573.4860,355.9254,598.5802,425.4100,579.4684,443.7898,589.5178,428.8599,576.8567,437.5581,580.7995,431.4946,560.2369,455.1312,568.6036,430.3074,550.3857,446.1645,559.6753,432.6982,541.4312,442.4587,594.7740,450.5875,607.0709,437.0633,629.8900,174.2977,616.9016,249.5297,630.5147,227.4859,633.8650,202.3960
73363,0,603.0564,148.5685,599.6280,141.3646,594.9185,143.9421,612.6209,142.8230,600.8665,148.8544,606.6051,187.2719,606.0319,188.9623,594.8768,238.4885,603.4302,233.9512,571.2367,284.9758,577.9443,269.8378,597.8985,288.6042,586.2102,281.3651,572.7610,366.9545,582.6592,358.0446,579.5010,438.5714,593.5565,428.2742,595.0275,186.1654,608.0839,176.3148,606.9867,173.3859,600.0698,230.6696,581.9697,233.4292,611.4635,234.9623,601.9051,239.2144,571.7691,268.4294,567.0399,283.4562,581.7141,270.3273,572.8077,287.1340,568.4760,263.2347,577.4293,268.7603,612.6038,264.0857,617.6964,267.1478,582.9071,348.4700,573.1267,363.6660,581.4638,355.5143,570.6152,356.2424,597.5679,426.1161,580.9952,442.8802,590.9379,430.1327,578.0222,437.0139,581.6056,432.1070,562.6988,454.8511,571.7155,431.3055,552.9744,446.5424,564.9592,434.1741,544.3145,443.2564,595.4796,449.0514,606.1073,438.0518,628.1498,173.9409,614.8351,249.3785,627.8845,227.1288,631.5499,202.0564
73364,0,599.1390,148.6080,596.7900,141.2472,591.5166,143.6008,609.8215,142.9399,598.3625,148.4287,606.0682,187.4502,606.1271,188.1663,601.4916,240.1189,603.5067,233.2878,573.0890,286.6185,577.7587,268.2453,598.6775,288.8897,585.5898,281.1522,572.7123,367.2927,583.4863,358.5132,577.0216,437.2464,592.8056,427.7231,594.7104,185.8313,608.3580,175.6408,605.9365,173.4925,599.6073,229.6575,583.0844,234.6019,612.0303,234.4566,611.0132,240.7385,570.5047,266.5143,567.9286,284.9849,581.6560,268.9977,574.5103,288.3858,567.5997,262.8202,578.5290,269.3812,616.4498,265.0071,621.7457,268.2880,582.8021,348.5754,573.2032,363.3311,582.3062,356.0539,569.6703,356.3035,596.4354,425.3668,577.9894,441.7637,589.9035,429.4909,575.8047,436.2317,579.8928,431.1747,560.3013,454.0073,569.3382,430.3217,550.6090,445.7619,562.7517,433.3318,542.2856,442.6890,593.4381,448.3217,606.5745,437.4133,629.2439,173.0953,617.8338,250.2330,631.7509,227.3252,634.9001,201.6352
73365,0,599.8481,148.2481,598.3601,140.9699,593.5922,143.5749,610.6721,142.0966,598.9943,148.4586,604.8654,187.3288,606.7660,188.1791,600.2359,240.2922,603.9406,232.8516,570.8660,286.5046,574.8806,266.5485,597.5673,288.4473,583.6252,280.9346,571.3337,366.6204,582.9863,358.5692,573.4669,435.8215,591.3082,426.4966,594.4441,185.3128,608.4441,175.6168,605.5713,173.3226,599.9021,229.0876,581.4555,234.7190,612.8137,234.6658,609.2138,240.8528,568.6558,264.5487,566.9039,284.8711,578.1734,267.9869,571.9077,288.2301,565.6724,262.3583,577.9957,268.6217,614.8549,264.5472,621.0772,267.8992,582.0827,348.2244,572.9292,362.7602,581.8990,355.6811,567.9887,355.2366,594.8032,424.1779,574.7390,440.3522,588.5645,428.2633,571.7925,434.8526,577.4421,429.8392,556.1861,452.4928,567.0865,429.2608,546.0830,444.1221,559.9306,432.4201,537.8540,441.2786,589.5040,446.7847,604.8420,436.0432,628.6799,173.1351,616.9019,249.9741,629.8824,227.2110,633.7545,201.4789
73366,0,598.4739,148.5449,596.4101,141.4443,591.5238,144.0999,609.0262,142.2641,597.5730,148.5994,603.1997,187.4342,604.4148,188.5948,601.6542,240.9764,603.0483,232.2394,570.0950,286.5343,573.3796,265.7756,603.9474,290.3293,587.9853,282.4381,571.0109,366.8661,581.8278,359.1902,574.0580,435.1202,590.9545,426.2662,593.4788,186.1069,604.8382,176.0745,602.6382,173.6506,598.3592,228.0947,581.1743,235.0644,613.3530,234.1927,612.2211,241.8131,566.4398,263.7174,565.2377,284.7357,577.5398,266.8918,570.7261,288.6677,564.5680,263.3644,581.8653,271.2646,620.5242,265.4650,626.9538,269.0975,580.6103,349.1746,573.9551,363.1600,580.2900,356.4002,566.3355,355.2831,594.8432,424.0490,576.7513,440.3132,588.3944,427.9509,571.4296,434.2196,576.1188,430.2907,558.2704,453.1224,564.8387,429.3149,547.1669,444.4362,556.6199,432.1201,538.0248,441.4706,591.0779,446.4000,605.9995,435.1219,627.2085,172.6068,621.3773,250.8010,632.6024,227.2858,635.1496,201.2604
73367,0,593.8527,148.3125,590.1794,141.5438,586.5856,143.9031,604.6691,142.5146,594.1843,148.2709,602.4729,187.6651,602.4427,188.1209,594.6467,240.3892,596.8894,232.1499,568.1380,286.3446,566.8175,262.8064,600.4564,290.0107,589.1694,283.1987,571.3349,368.3472,582.0214,359.9245,571.2421,433.2426,587.1785,425.2829,591.8533,186.3040,602.8086,175.4746,601.7919,173.8648,592.9938,228.2346,579.6654,235.2534,606.4064,235.0819,604.2216,241.6061,561.7450,260.6805,562.7799,284.7854,570.0998,264.3590,570.0265,288.6104,566.3612,264.3684,577.7093,271.0895,618.2221,265.5339,623.2292,268.7078,581.7953,350.6087,573.3932,364.6241,580.1207,357.4063,566.9189,357.0648,590.7639,423.0316,574.4196,437.6568,584.6509,427.0946,568.4226,432.5991,572.3128,429.0534,557.8734,452.1903,560.2165,428.1023,547.0936,444.4664,551.2338,430.8458,537.8188,441.9427,588.0713,443.2890,602.6713,434.0741,625.1850,172.5922,617.8675,250.5396,629.7129,227.0652,632.9346,201.0802
73368,0,596.9579,147.9428,589.2086,140.8038,584.7041,143.3581,605.5496,142.1594,593.0456,148.0809,602.2402,188.0441,602.9478,188.3119,595.4371,241.2065,594.3392,230.7339,570.4617,288.1432,562.9250,259.6307,601.0898,290.3828,588.6950,283.0495,571.2835,367.7181,582.8575,359.8949,569.3161,432.3377,585.4107,425.1938,591.9656,186.3598,603.6804,175.6399,602.8658,174.5222,590.2318,226.5079,585.2345,236.5673,603.2612,233.8860,604.4168,242.4069,558.8206,257.7109,565.7330,286.3372,566.3507,261.6328,571.4746,290.0224,562.4971,263.8904,575.9703,271.1915,616.2243,265.4339,622.8415,268.7447,582.5093,350.6186,574.5316,364.1847,581.3646,357.8161,565.5945,356.2258,588.5357,422.7328,573.7192,436.9787,582.7640,426.9987,566.0212,431.4816,569.5056,428.2158,558.3450,451.6439,557.6002,427.2790,546.6637,443.8438,548.7563,429.8872,538.4153,441.8712,586.2237,442.5945,599.8667,433.8924,626.6483,172.8806,615.9359,250.3345,627.9706,227.4152,632.5813,201.8035
73369,0,600.8438,148.5204,592.3575,141.5288,588.8757,143.8679,609.6637,142.5376,595.1467,148.5937,602.4233,188.5882,602.5559,188.0922,599.1655,242.2445,593.6966,230.2513,572.1151,288.0617,556.5211,256.9390,597.7195,289.5905,585.0095,281.8009,569.0666,366.6082,580.4264,358.6240,568.9092,431.8184,586.4185,424.8853,592.3672,186.4916,603.3843,175.6281,604.0956,175.2598,590.2762,225.5661,587.8702,237.2176,602.5861,233.3029,607.7697,243.5938,551.6442,254.8957,567.3254,286.5490,560.5992,258.9041,573.3200,289.8977,560.3910,262.6187,576.0602,270.5796,612.4168,264.9696,619.3793,268.3163,580.0127,349.6607,573.1154,363.7579,579.4860,356.5710,563.8611,355.3291,588.7783,422.2509,572.8621,436.1755,584.5652,426.8792,565.8636,431.0374,570.2075,427.7014,556.7149,450.3270,559.1777,426.7641,544.0824,442.2320,550.9403,429.4182,536.3301,440.3275,585.8685,442.0390,599.8533,433.3385,626.1041,173.5049,613.2103,250.0372,625.1630,227.1883,630.9960,202.2702
73370,0,602.9697,148.3528,591.7358,141.2045,589.2182,143.4830,607.3231,142.2613,595.2538,148.6205,603.6808,189.6359,600.3307,188.2003,602.5067,243.5159,589.0010,229.0146,570.9714,289.5188,554.0982,252.5628,597.3041,289.9563,586.8957,282.1485,570.5091,367.4979,578.9447,357.3772,571.6158,433.3332,590.4092,425.3247,592.5704,186.4315,602.3842,175.7011,604.0715,175.6382,585.2348,224.2086,589.6687,238.8882,597.4901,232.8916,610.5256,244.8731,550.1465,249.7864,565.1080,288.0533,557.0289,254.7579,572.9673,291.4174,561.4287,262.8873,574.8213,270.5864,612.0260,265.2566,618.6858,268.5878,579.2286,348.6354,575.1142,364.7995,576.0308,355.4477,565.9411,355.7648,592.1683,422.4114,575.1378,437.8504,588.6602,427.1353,568.1934,432.1467,573.1701,427.8228,556.3668,451.0614,558.8473,426.0801,541.8561,441.6562,548.8457,428.3338,533.1465,439.1186,590.4395,444.2409,601.9726,433.0206,624.4133,173.9496,612.4747,250.3034,623.7623,227.3897,629.7188,202.8198
